created,modified,description,amount,owner_id,id
2024-11-08 15:45:18.303733,2024-11-08 15:45:18.303804,Amount paidin SA R2000 at the rate of R1-Kes7.5,15000,,ncRR1JdBHI
2024-11-08 15:51:40.509928,2024-11-08 15:51:40.509975,ujjj,800,3,D7sWPAb50Q
2024-11-08 15:52:55.988044,2024-11-08 15:52:55.988096,nn,900,3,cnKVjcXW1n
2024-11-26 16:59:26.927010,2024-11-26 16:59:26.927055,,,1,hIFqJGx1qe
2024-12-06 09:20:15.355251,2024-12-06 09:20:15.355307,23kgs charged on last consignment,6900,4,tIzqBvIQEo
2025-01-10 11:18:04.451183,2025-01-10 11:18:04.451225,Discount,10000,4,fpzPi9wAoE
